transaction_id,product_id,transaction_date,transaction_time,transaction_type,quantity,from_warehouse,to_warehouse,unit_cost,total_value,reference_id,employee_id
INV0003106,ELEC-000127,2022-05-18,22:11:35,Ship,-20,WH06,,698.26,,,EMP00008
INV0003107,BOOK-002343,2019-12-01,10:16:26,Receive,25,WH08,,21.31,532.75,PO34692,EMP00071
INV0003108,HOME-000630,2022-05-07,21:37:33,Ship,-20,WH07,,17.93,,,EMP00077
INV0003109,FURN-002771,2021-02-07,23:56:56,Receive,107,WH05,,536.88,57446.16,PO60791,EMP00052
INV0003110,HOME-000714,2020-06-29,06:13:50,Ship,-32,WH01,,110.53,,,EMP00056
INV0003111,FURN-002711,2020-05-21,06:20:18,Receive,17,WH07,,508.95,8652.15,PO55182,EMP00004
INV0003112,FURN-002718,2023-01-09,09:30:56,Transfer,27,WH03,WH05,546.22,14747.94,,EMP00007
INV0003113,GROC-001106,2021-04-26,20:13:35,Return,3,WH06,,22.36,67.08,,EMP00092
INV0003114,ELEC-000128,2020-11-12,23:13:42,Ship,-2,WH02,,568.54,,,EMP00009
INV0003115,SPRT-001676,2021-11-26,06:23:17,Ship,-41,WH06,,37.53,,,EMP00041
INV0003116,CLTH-000224,2021-10-01,17:10:02,Receive,122,WH05,,50.69,6184.18,PO43579,EMP00040
INV0003117,GROC-000926,2022-05-29,07:25:49,Receive,104,WH02,,10.87,1130.48,PO80109,EMP00035
INV0003118,HOME-000622,2022-03-01,10:56:15,Ship,-32,WH06,,135.69,,,EMP00002
INV0003119,CLTH-000175,2023-11-10,19:13:47,Count,0,WH06,,86.06,,,EMP00033
INV0003120,GROC-000876,2021-03-30,23:06:07,Transfer,27,WH06,WH04,9.0,243.0,,EMP00064
INV0003121,SPRT-001700,2023-07-23,13:08:20,Ship,-19,WH01,,100.6,,,EMP00055
INV0003122,FURN-002784,2020-03-17,05:49:46,Ship,-38,WH07,,545.54,,,EMP00095
INV0003123,CLTH-000362,2021-12-08,21:15:11,Receive,70,WH02,,48.17,3371.9,PO56143,EMP00026
INV0003124,BOOK-002270,2019-09-26,03:47:17,Receive,180,WH02,,27.6,4968.0,PO17477,EMP00064
INV0003125,CLTH-000206,2023-12-27,23:26:44,Receive,116,WH03,,78.07,9056.12,PO41245,EMP00066
INV0003126,GROC-001122,2023-10-14,13:41:56,Ship,-38,WH03,,12.77,,,EMP00078
INV0003127,FURN-002956,2022-02-04,05:09:34,Ship,-10,WH01,,633.38,,,EMP00053
INV0003128,JEWL-002555,2021-11-13,03:08:56,Receive,64,WH03,,498.77,31921.28,PO34809,EMP00098
INV0003129,HOME-000644,2020-07-26,09:04:01,Receive,27,WH05,,164.52,4442.04,PO33266,EMP00080
INV0003130,CLTH-000495,2023-11-20,13:05:10,Receive,120,WH01,,29.65,3558.0,PO84696,EMP00090
INV0003131,FURN-002843,2022-03-07,18:33:33,Adjust,-5,WH01,,637.65,,,EMP00030
INV0003132,CLTH-000172,2020-11-29,22:44:21,Receive,86,WH05,,55.4,4764.4,PO53182,EMP00016
INV0003133,GRDN-003214,2022-02-03,07:51:30,Receive,180,WH05,,45.06,8110.8,PO94911,EMP00070
INV0003134,BEAU-001271,2023-10-28,12:09:31,Receive,23,WH03,,8.59,197.57,PO37846,EMP00060
INV0003135,FURN-002989,2020-06-16,04:02:57,Count,0,WH07,,399.51,,,EMP00016
INV0003136,HOME-000629,2019-07-21,17:26:50,Receive,145,WH02,,78.98,11452.1,PO50338,EMP00046
INV0003137,BEAU-001340,2022-10-27,12:08:59,Receive,48,WH02,,16.15,775.2,PO96136,EMP00088
INV0003138,GRDN-003265,2020-03-14,01:23:27,Ship,-44,WH06,,26.29,,,EMP00097
INV0003139,BEAU-001298,2023-02-13,18:44:24,Ship,-30,WH04,,14.59,,,EMP00020
INV0003140,AUTO-002070,2022-02-04,09:14:32,Adjust,4,WH02,,12.53,50.12,,EMP00033
INV0003141,HOME-000596,2022-11-01,14:20:28,Receive,172,WH04,,126.46,21751.12,PO90338,EMP00025
INV0003142,SPRT-001505,2021-03-10,00:44:36,Adjust,-5,WH04,,108.11,,,EMP00099
INV0003143,AUTO-002050,2023-11-18,10:56:45,Adjust,-1,WH08,,36.41,,,EMP00029
INV0003144,GROC-000914,2020-08-15,21:14:15,Receive,177,WH03,,14.63,2589.51,PO81717,EMP00036
INV0003145,HOME-000702,2019-07-16,23:43:04,Receive,122,WH05,,63.41,7736.02,PO79945,EMP00095
INV0003146,SPRT-001511,2020-06-12,08:38:28,Receive,117,WH01,,134.73,15763.41,PO44653,EMP00098
INV0003147,BEAU-001246,2019-09-14,08:22:23,Receive,19,WH08,,17.04,323.76,PO89474,EMP00087
INV0003148,JEWL-002651,2021-02-24,14:46:13,Ship,-50,WH01,,103.7,,,EMP00057
INV0003149,SPRT-001625,2022-06-06,19:19:58,Receive,118,WH08,,115.15,13587.7,PO60320,EMP00017
INV0003150,HOME-000672,2023-10-10,04:11:22,Receive,112,WH04,,94.62,10597.44,PO97866,EMP00012
INV0003151,CLTH-000229,2020-02-22,21:17:33,Receive,36,WH06,,418.59,15069.24,PO70405,EMP00076
INV0003152,FURN-002924,2020-08-02,11:53:55,Count,0,WH04,,491.94,,,EMP00077
INV0003153,GROC-000968,2021-01-07,07:29:39,Receive,137,WH02,,44.58,6107.46,PO41687,EMP00080
INV0003154,FURN-002866,2021-05-14,07:02:44,Ship,-15,WH04,,705.16,,,EMP00086
INV0003155,GROC-000983,2022-05-01,23:27:08,Transfer,10,WH02,WH03,9.72,97.2,,EMP00001
INV0003156,CLTH-000450,2022-05-15,14:18:45,Ship,-50,WH03,,10.88,,,EMP00072
INV0003157,AUTO-002031,2022-03-03,02:27:41,Receive,130,WH08,,89.6,11648.0,PO27465,EMP00015
INV0003158,HOME-000577,2021-04-11,17:43:51,Ship,-12,WH07,,57.27,,,EMP00026
INV0003159,GROC-000788,2021-09-01,23:10:23,Return,5,WH03,,40.36,201.8,,EMP00032
INV0003160,CLTH-000520,2021-06-30,11:18:16,Receive,189,WH02,,86.76,16397.64,PO46499,EMP00047
INV0003161,BOOK-002416,2023-06-09,11:51:38,Receive,31,WH04,,31.04,962.24,PO59046,EMP00003
INV0003162,SPRT-001630,2021-01-30,15:12:47,Ship,-30,WH05,,166.25,,,EMP00002
INV0003163,SPRT-001602,2023-10-18,16:56:07,Receive,32,WH02,,82.74,2647.68,PO25945,EMP00041
INV0003164,BOOK-002194,2023-12-20,22:48:40,Ship,-29,WH08,,44.7,,,EMP00054
INV0003165,AUTO-002032,2021-07-23,09:19:49,Receive,75,WH06,,131.48,9861.0,PO45817,EMP00024
INV0003166,GROC-001143,2023-07-20,11:41:23,Receive,156,WH02,,22.83,3561.48,PO65338,EMP00082
INV0003167,AUTO-002146,2021-11-03,12:44:14,Receive,172,WH08,,149.84,25772.48,PO20793,EMP00002
INV0003168,BEAU-001309,2022-12-08,05:24:11,Receive,50,WH06,,34.26,1713.0,PO96260,EMP00062
INV0003169,CLTH-000312,2022-09-26,07:42:34,Receive,62,WH03,,59.13,3666.06,PO41699,EMP00021
INV0003170,GRDN-003124,2023-03-28,04:33:38,Adjust,4,WH06,,37.12,148.48,,EMP00007
INV0003171,GRDN-003150,2021-12-09,00:21:25,Receive,101,WH01,,25.98,2623.98,PO39156,EMP00018
INV0003172,BEAU-001195,2023-06-28,02:54:41,Adjust,0,WH07,,10.61,,,EMP00094
INV0003173,AUTO-002105,2021-07-30,18:44:29,Receive,144,WH05,,71.08,10235.52,PO40941,EMP00061
INV0003174,GROC-001125,2019-10-19,19:02:25,Receive,125,WH04,,11.87,1483.75,PO13104,EMP00050
INV0003175,BOOK-002365,2022-02-28,17:38:49,Ship,-20,WH07,,15.62,,,EMP00008
INV0003176,GRDN-003185,2022-07-18,19:50:56,Receive,132,WH07,,47.14,6222.48,PO99348,EMP00034
INV0003177,HOME-000664,2023-12-17,23:09:09,Receive,145,WH03,,95.38,13830.1,PO45700,EMP00052
INV0003178,SPRT-001671,2021-01-16,00:47:43,Receive,74,WH05,,77.96,5769.04,PO26579,EMP00077
INV0003179,CLTH-000408,2022-01-11,07:59:30,Count,0,WH06,,75.69,,,EMP00019
INV0003180,GROC-001089,2021-05-27,11:17:06,Receive,22,WH01,,7.9,173.8,PO97446,EMP00041
INV0003181,JEWL-002555,2021-12-06,03:43:04,Ship,-19,WH06,,498.77,,,EMP00056
INV0003182,AUTO-002021,2023-09-10,06:10:39,Receive,197,WH04,,122.74,24179.78,PO69008,EMP00003
INV0003183,FURN-003004,2022-01-08,02:33:57,Receive,45,WH03,,670.0,30150.0,PO96473,EMP00009
INV0003184,ELEC-000064,2020-03-20,19:23:32,Receive,179,WH03,,100.49,17987.71,PO67234,EMP00098
INV0003185,BOOK-002225,2021-02-26,16:49:19,Ship,-38,WH01,,63.92,,,EMP00013
INV0003186,TOYS-001955,2019-08-03,21:50:52,Receive,54,WH04,,15.28,825.12,PO28917,EMP00063
INV0003187,CLTH-000464,2023-11-22,08:49:15,Ship,-21,WH02,,12.45,,,EMP00098
INV0003188,FURN-002968,2023-03-08,23:13:07,Receive,151,WH03,,375.01,56626.51,PO65535,EMP00085
INV0003189,BEAU-001202,2021-12-25,09:21:53,Ship,-21,WH05,,7.0,,,EMP00098
INV0003190,JEWL-002508,2021-01-11,07:20:41,Receive,72,WH05,,606.68,43680.96,PO91788,EMP00038
INV0003191,BEAU-001308,2021-09-07,17:09:46,Return,4,WH06,,40.04,160.16,,EMP00005
INV0003192,GRDN-003229,2022-02-18,15:07:57,Receive,67,WH04,,42.38,2839.46,PO91209,EMP00083
INV0003193,TOYS-002000,2021-01-21,18:32:44,Adjust,5,WH08,,42.25,211.25,,EMP00091
INV0003194,ELEC-000122,2020-03-27,23:31:35,Adjust,3,WH03,,655.96,1967.88,,EMP00084
INV0003195,ELEC-000034,2020-01-30,05:33:44,Ship,-46,WH02,,2545.06,,,EMP00007
INV0003196,BEAU-001250,2020-06-08,17:45:03,Adjust,-10,WH03,,38.15,,,EMP00079
INV0003197,FURN-003093,2021-10-30,11:09:37,Ship,-32,WH01,,666.22,,,EMP00065
INV0003198,FURN-003022,2022-04-20,11:16:05,Ship,-24,WH06,,608.27,,,EMP00022
INV0003199,GROC-000913,2021-05-29,21:45:58,Receive,89,WH07,,52.48,4670.72,PO79166,EMP00013
INV0003200,CLTH-000283,2021-05-12,09:35:53,Adjust,8,WH08,,18.15,145.2,,EMP00043
INV0003201,SPRT-001737,2019-08-01,13:42:29,Ship,-5,WH03,,59.19,,,EMP00013
INV0003202,GRDN-003209,2020-08-23,00:18:10,Receive,75,WH01,,54.37,4077.75,PO87888,EMP00071
INV0003203,SPRT-001785,2023-03-27,21:33:57,Ship,-46,WH01,,55.0,,,EMP00059
INV0003204,SPRT-001695,2023-10-09,04:34:08,Receive,37,WH01,,113.36,4194.32,PO56193,EMP00083
INV0003205,GRDN-003207,2019-12-02,17:28:29,Adjust,-10,WH08,,43.43,,,EMP00047
INV0003206,BOOK-002368,2019-10-28,21:59:17,Adjust,-9,WH08,,223.48,,,EMP00057
INV0003207,BOOK-002205,2019-12-04,03:02:33,Ship,-49,WH07,,40.84,,,EMP00027
INV0003208,BEAU-001412,2020-09-01,22:14:42,Receive,56,WH03,,38.09,2133.04,PO19120,EMP00062
INV0003209,BEAU-001303,2019-11-27,22:36:00,Ship,-15,WH08,,50.7,,,EMP00095
INV0003210,FURN-003108,2019-12-08,04:40:07,Ship,-48,WH04,,194.2,,,EMP00059
INV0003211,BEAU-001401,2021-03-24,12:50:56,Receive,189,WH08,,7.7,1455.3,PO26306,EMP00008
INV0003212,TOYS-001966,2019-12-07,04:49:31,Receive,117,WH07,,25.85,3024.45,PO37454,EMP00076
INV0003213,TOYS-001834,2022-12-21,01:03:55,Ship,-23,WH05,,37.7,,,EMP00019
INV0003214,GROC-001073,2023-11-22,15:03:36,Ship,-25,WH04,,361.8,,,EMP00040
INV0003215,GRDN-003125,2023-02-01,20:50:10,Receive,83,WH02,,21.62,1794.46,PO18535,EMP00085
INV0003216,FURN-003032,2021-03-22,23:00:48,Ship,-42,WH01,,663.01,,,EMP00098
INV0003217,JEWL-002617,2021-03-30,09:14:51,Receive,77,WH05,,108.8,8377.6,PO88615,EMP00078
INV0003218,GROC-001142,2019-08-31,11:19:19,Ship,-36,WH03,,47.7,,,EMP00081
INV0003219,GROC-001036,2023-10-18,00:05:35,Receive,16,WH08,,54.13,866.08,PO89566,EMP00023
INV0003220,BEAU-001225,2022-03-04,05:33:36,Receive,45,WH01,,29.05,1307.25,PO44499,EMP00062
INV0003221,GRDN-003285,2023-08-01,10:44:26,Adjust,-2,WH07,,21.32,,,EMP00029
INV0003222,TOYS-001991,2020-12-20,09:20:07,Ship,-12,WH07,,12.43,,,EMP00039
INV0003223,BOOK-002294,2021-01-06,08:48:35,Ship,-5,WH01,,4.48,,,EMP00087
INV0003224,JEWL-002579,2023-04-24,21:56:09,Ship,-42,WH08,,395.34,,,EMP00044
INV0003225,GROC-000877,2023-10-15,14:27:51,Ship,-46,WH07,,38.8,,,EMP00058
INV0003226,GROC-001034,2021-09-09,11:14:05,Receive,10,WH07,,37.81,378.1,PO76901,EMP00024
INV0003227,BEAU-001319,2020-08-31,20:24:00,Adjust,2,WH03,,55.16,110.32,,EMP00010
INV0003228,GROC-001148,2023-10-20,07:52:19,Receive,36,WH01,,16.86,606.96,PO25282,EMP00009
INV0003229,GROC-000998,2019-07-10,15:10:31,Ship,-27,WH05,,37.19,,,EMP00033
INV0003230,GROC-001070,2023-11-07,01:24:51,Receive,156,WH08,,30.97,4831.32,PO88570,EMP00087
INV0003231,FURN-002742,2019-12-30,13:07:37,Receive,106,WH07,,680.34,72116.04,PO36205,EMP00014
INV0003232,FURN-003079,2023-01-24,01:20:07,Receive,109,WH05,,149.31,16274.79,PO86836,EMP00092
INV0003233,FURN-002762,2022-10-26,06:53:21,Receive,19,WH03,,748.75,14226.25,PO57186,EMP00066
INV0003234,BEAU-001444,2023-03-11,03:30:13,Receive,170,WH01,,23.02,3913.4,PO10478,EMP00015
INV0003235,ELEC-000021,2020-07-27,03:37:39,Ship,-6,WH08,,466.84,,,EMP00070
INV0003236,CLTH-000407,2019-12-30,11:28:53,Receive,171,WH01,,30.86,5277.06,PO41222,EMP00072
INV0003237,GROC-000935,2021-03-18,05:18:02,Adjust,-6,WH04,,40.41,,,EMP00080
INV0003238,SPRT-001533,2021-05-30,05:26:00,Adjust,-2,WH05,,600.98,,,EMP00043
INV0003239,BEAU-001366,2021-07-15,19:38:55,Receive,104,WH01,,17.62,1832.48,PO49433,EMP00017
INV0003240,BOOK-002259,2022-09-07,17:05:35,Return,2,WH06,,22.79,45.58,,EMP00001
INV0003241,TOYS-001944,2022-03-12,12:13:38,Ship,-31,WH06,,27.27,,,EMP00021
INV0003242,SPRT-001788,2021-12-02,16:35:29,Count,0,WH01,,104.99,,,EMP00002
INV0003243,BOOK-002363,2022-11-03,08:40:46,Adjust,9,WH04,,5.24,47.16,,EMP00045
INV0003244,FURN-002881,2019-07-08,16:02:21,Receive,123,WH04,,606.94,74653.62,PO65970,EMP00052
INV0003245,FURN-002994,2023-05-29,12:16:40,Receive,102,WH06,,647.15,66009.3,PO13208,EMP00049
INV0003246,GRDN-003139,2022-03-10,02:14:38,Receive,88,WH07,,55.52,4885.76,PO55741,EMP00068
INV0003247,FURN-002729,2022-08-03,07:21:53,Ship,-47,WH05,,192.72,,,EMP00077
INV0003248,BEAU-001334,2023-12-30,02:54:48,Receive,175,WH02,,38.77,6784.75,PO10716,EMP00047
INV0003249,HOME-000523,2022-07-29,00:18:01,Receive,27,WH06,,48.98,1322.46,PO77382,EMP00014
INV0003250,SPRT-001519,2019-08-25,19:51:57,Receive,44,WH04,,104.87,4614.28,PO25080,EMP00047
INV0003251,CLTH-000514,2020-07-07,14:56:00,Receive,141,WH04,,11.86,1672.26,PO77199,EMP00046
INV0003252,FURN-002839,2020-07-08,12:22:27,Ship,-12,WH04,,410.87,,,EMP00037
INV0003253,GRDN-003116,2023-08-09,13:39:28,Receive,75,WH07,,21.37,1602.75,PO71482,EMP00015
INV0003254,BEAU-001427,2020-12-03,05:47:37,Receive,48,WH08,,28.55,1370.4,PO36858,EMP00015
INV0003255,GROC-000852,2021-08-18,04:40:48,Transfer,-36,WH06,WH02,28.69,,,EMP00031
INV0003256,HOME-000578,2022-10-17,04:54:31,Receive,31,WH06,,120.0,3720.0,PO11022,EMP00084
INV0003257,FURN-003022,2021-02-07,05:55:47,Ship,-35,WH02,,608.27,,,EMP00093
INV0003258,AUTO-002064,2020-09-25,15:35:29,Ship,-48,WH07,,109.13,,,EMP00091
INV0003259,TOYS-001980,2022-06-06,01:21:16,Receive,106,WH04,,67.68,7174.08,PO95406,EMP00069
INV0003260,FURN-002782,2020-02-23,09:38:00,Ship,-42,WH03,,608.69,,,EMP00049
INV0003261,ELEC-000001,2022-11-21,03:59:21,Receive,127,WH01,,348.58,44269.66,PO86098,EMP00063
INV0003262,BOOK-002254,2023-03-05,14:09:54,Return,2,WH02,,16.98,33.96,,EMP00099
INV0003263,ELEC-000139,2022-12-06,07:03:33,Ship,-3,WH08,,157.93,,,EMP00002
INV0003264,AUTO-002140,2019-07-12,02:07:32,Receive,142,WH08,,66.76,9479.92,PO25848,EMP00076
INV0003265,GRDN-003250,2021-01-01,05:12:54,Ship,-11,WH05,,14.32,,,EMP00068
INV0003266,CLTH-000447,2023-09-29,02:21:53,Receive,149,WH04,,152.02,22650.98,PO90790,EMP00036
INV0003267,SPRT-001681,2023-04-04,14:39:56,Ship,-40,WH03,,69.0,,,EMP00009
INV0003268,SPRT-001797,2022-03-04,04:09:49,Receive,136,WH08,,29.82,4055.52,PO73434,EMP00030
INV0003269,FURN-002757,2023-08-23,04:44:47,Ship,-31,WH01,,596.1,,,EMP00095
INV0003270,HOME-000603,2023-05-12,15:47:46,Receive,177,WH01,,90.16,15958.32,PO68228,EMP00046
INV0003271,GRDN-003182,2019-09-18,05:15:11,Return,4,WH04,,41.15,164.6,,EMP00020
INV0003272,ELEC-000009,2023-05-01,11:27:34,Receive,74,WH07,,291.42,21565.08,PO35416,EMP00012
INV0003273,JEWL-002514,2021-09-27,22:29:32,Ship,-28,WH08,,173.83,,,EMP00048
INV0003274,BEAU-001277,2021-07-20,12:45:04,Ship,-13,WH01,,11.76,,,EMP00055
INV0003275,FURN-002929,2022-02-12,02:29:54,Receive,135,WH08,,396.06,53468.1,PO12759,EMP00092
INV0003276,GROC-001035,2020-09-07,10:42:59,Ship,-3,WH05,,63.82,,,EMP00083
INV0003277,JEWL-002462,2021-11-23,10:52:46,Receive,147,WH06,,813.66,119608.02,PO32620,EMP00081
INV0003278,SPRT-001507,2023-03-25,12:36:00,Receive,80,WH06,,13.52,1081.6,PO56210,EMP00039
INV0003279,ELEC-000127,2020-08-03,17:20:34,Receive,21,WH08,,698.26,14663.46,PO80380,EMP00076
INV0003280,ELEC-000146,2020-08-24,02:25:07,Transfer,6,WH07,WH05,611.12,3666.72,,EMP00031
INV0003281,JEWL-002431,2020-07-18,00:07:03,Adjust,10,WH02,,421.17,4211.7,,EMP00001
INV0003282,AUTO-002096,2021-12-27,16:13:24,Ship,-31,WH06,,52.88,,,EMP00010
INV0003283,SPRT-001550,2022-06-01,22:02:45,Ship,-24,WH08,,27.84,,,EMP00071
INV0003284,FURN-003046,2021-04-22,15:33:10,Receive,142,WH02,,429.07,60927.94,PO52964,EMP00049
INV0003285,TOYS-001867,2022-04-26,09:53:05,Receive,68,WH01,,44.53,3028.04,PO91718,EMP00059
INV0003286,ELEC-000058,2023-06-06,00:22:11,Receive,59,WH02,,596.19,35175.21,PO27454,EMP00028
INV0003287,CLTH-000496,2022-09-22,15:51:25,Receive,191,WH07,,168.95,32269.45,PO64055,EMP00088
INV0003288,CLTH-000387,2023-01-06,06:47:30,Receive,13,WH08,,70.23,912.99,PO19332,EMP00040
INV0003289,BEAU-001422,2023-06-02,21:47:33,Receive,187,WH05,,38.91,7276.17,PO91970,EMP00058
INV0003290,GROC-000866,2023-11-12,19:46:18,Receive,165,WH06,,23.42,3864.3,PO61571,EMP00078
INV0003291,SPRT-001617,2022-02-20,16:32:32,Ship,-48,WH04,,152.7,,,EMP00076
INV0003292,GRDN-003205,2021-08-30,10:44:33,Ship,-9,WH05,,25.32,,,EMP00026
INV0003293,BEAU-001357,2020-12-19,00:36:14,Receive,83,WH03,,25.54,2119.82,PO76333,EMP00034
INV0003294,FURN-002735,2023-02-18,03:09:37,Receive,127,WH05,,624.5,79311.5,PO25803,EMP00069
INV0003295,ELEC-000074,2019-09-05,17:15:18,Receive,86,WH02,,343.21,29516.06,PO21993,EMP00011
INV0003296,SPRT-001765,2019-08-14,16:14:59,Receive,45,WH04,,167.01,7515.45,PO67059,EMP00047
INV0003297,CLTH-000200,2022-01-18,14:18:17,Ship,-3,WH03,,43.75,,,EMP00017
INV0003298,GROC-000951,2023-01-03,14:49:33,Receive,113,WH08,,27.13,3065.69,PO54950,EMP00046
INV0003299,CLTH-000368,2022-05-25,15:47:53,Ship,-27,WH06,,74.09,,,EMP00014
INV0003300,ELEC-000038,2022-04-18,23:02:50,Ship,-9,WH04,,593.37,,,EMP00082
INV0003301,BEAU-001280,2020-05-30,10:48:51,Receive,64,WH04,,41.98,2686.72,PO80208,EMP00012
INV0003302,SPRT-001527,2019-08-29,07:19:44,Ship,-9,WH03,,22.75,,,EMP00070
INV0003303,GROC-000819,2021-05-17,03:04:50,Receive,31,WH01,,24.65,764.15,PO30192,EMP00077
INV0003304,CLTH-000446,2021-05-20,11:50:47,Receive,73,WH06,,81.43,5944.39,PO39782,EMP00024
INV0003305,GROC-001092,2022-03-23,00:02:04,Receive,68,WH03,,55.01,3740.68,PO43767,EMP00009
INV0003306,CLTH-000375,2020-09-07,23:43:11,Adjust,5,WH01,,37.29,186.45,,EMP00044
INV0003307,FURN-002846,2022-06-08,19:32:37,Receive,148,WH01,,728.12,107761.76,PO49291,EMP00029
INV0003308,JEWL-002508,2019-08-23,10:50:37,Receive,124,WH03,,606.68,75228.32,PO41793,EMP00015
INV0003309,FURN-002991,2023-07-17,01:53:46,Ship,-6,WH01,,360.07,,,EMP00095
INV0003310,GRDN-003128,2022-08-23,19:01:35,Receive,39,WH04,,16.95,661.05,PO79057,EMP00032
INV0003311,JEWL-002505,2020-11-06,17:56:39,Transfer,-29,WH05,WH07,151.56,,,EMP00046
INV0003312,FURN-003034,2020-07-10,16:14:23,Adjust,3,WH01,,293.7,881.1,,EMP00073
INV0003313,FURN-002807,2023-06-12,06:12:23,Receive,40,WH07,,247.21,9888.4,PO35980,EMP00067
INV0003314,FURN-003108,2021-05-20,06:45:05,Ship,-29,WH01,,194.2,,,EMP00085
INV0003315,SPRT-001670,2020-03-24,01:31:11,Ship,-49,WH08,,90.88,,,EMP00056
INV0003316,JEWL-002477,2020-11-15,21:22:39,Ship,-33,WH04,,133.56,,,EMP00041
INV0003317,BEAU-001463,2022-09-21,22:23:13,Receive,127,WH01,,4.95,628.65,PO51450,EMP00055
INV0003318,GROC-001117,2022-08-15,11:50:43,Receive,129,WH05,,9.34,1204.86,PO73389,EMP00091
INV0003319,SPRT-001815,2022-10-29,21:41:14,Receive,160,WH05,,100.73,16116.8,PO86710,EMP00089
INV0003320,GROC-001078,2020-03-04,21:43:40,Ship,-6,WH03,,58.52,,,EMP00051
INV0003321,HOME-000612,2019-07-23,23:52:12,Ship,-19,WH06,,229.33,,,EMP00004
INV0003322,GRDN-003172,2023-01-29,18:11:48,Return,4,WH05,,38.01,152.04,,EMP00065
INV0003323,HOME-000640,2022-01-03,14:38:31,Receive,157,WH01,,53.87,8457.59,PO51568,EMP00022
INV0003324,BOOK-002370,2022-11-20,13:43:20,Transfer,-47,WH03,WH06,14.9,,,EMP00068
INV0003325,SPRT-001530,2022-04-08,04:34:23,Ship,-27,WH01,,111.62,,,EMP00076
INV0003326,FURN-002930,2021-04-10,12:43:12,Adjust,-8,WH02,,640.13,,,EMP00044
INV0003327,JEWL-002554,2022-03-28,11:03:52,Count,0,WH03,,189.53,,,EMP00040
INV0003328,BEAU-001411,2019-10-03,20:07:02,Return,2,WH04,,2.51,5.02,,EMP00071
INV0003329,BEAU-001239,2023-01-26,23:20:26,Ship,-14,WH05,,12.9,,,EMP00004
INV0003330,GROC-000846,2022-05-22,12:19:38,Adjust,3,WH06,,52.35,157.05,,EMP00097
INV0003331,GROC-000820,2020-10-14,11:57:31,Receive,157,WH05,,12.62,1981.34,PO95248,EMP00032
INV0003332,ELEC-000121,2022-01-16,18:43:50,Receive,119,WH05,,372.37,44312.03,PO12688,EMP00086
INV0003333,BOOK-002307,2021-03-16,15:40:43,Ship,-44,WH08,,54.84,,,EMP00055
INV0003334,CLTH-000267,2023-05-10,23:26:33,Ship,-29,WH02,,108.99,,,EMP00037
INV0003335,SPRT-001790,2022-10-02,20:25:07,Receive,92,WH06,,158.01,14536.92,PO98443,EMP00027
INV0003336,GRDN-003166,2021-03-06,18:11:14,Receive,155,WH05,,75.39,11685.45,PO31580,EMP00007
INV0003337,FURN-002732,2022-10-27,13:36:35,Ship,-23,WH04,,281.52,,,EMP00028
INV0003338,BOOK-002273,2023-10-28,03:14:15,Ship,-42,WH07,,16.53,,,EMP00013
INV0003339,SPRT-001806,2021-09-07,18:05:31,Adjust,-3,WH06,,161.43,,,EMP00044
INV0003340,JEWL-002456,2021-09-26,01:44:08,Receive,198,WH04,,699.98,138596.04,PO14532,EMP00082
INV0003341,HOME-000549,2021-02-16,05:35:21,Ship,-26,WH02,,178.99,,,EMP00049
INV0003342,JEWL-002603,2022-03-07,14:53:03,Receive,82,WH05,,490.55,40225.1,PO32008,EMP00056
INV0003343,FURN-002963,2021-06-10,22:41:58,Receive,86,WH08,,171.16,14719.76,PO82338,EMP00036
INV0003344,CLTH-000396,2020-12-13,08:19:31,Adjust,10,WH01,,17.68,176.8,,EMP00020
INV0003345,BEAU-001183,2020-02-03,02:10:28,Receive,32,WH02,,9.55,305.6,PO58075,EMP00044
INV0003346,HOME-000702,2019-12-09,15:23:14,Ship,-16,WH01,,63.41,,,EMP00093
INV0003347,GROC-000793,2020-06-13,01:31:16,Receive,154,WH01,,48.01,7393.54,PO56055,EMP00002
INV0003348,ELEC-000060,2020-01-10,19:31:04,Receive,174,WH02,,345.84,60176.16,PO84433,EMP00072
INV0003349,CLTH-000443,2023-09-15,06:02:51,Return,5,WH03,,132.18,660.9,,EMP00043
INV0003350,JEWL-002442,2021-08-27,19:23:45,Ship,-11,WH04,,152.08,,,EMP00041
INV0003351,ELEC-000006,2019-10-05,17:30:49,Adjust,7,WH05,,371.08,2597.56,,EMP00043
INV0003352,CLTH-000341,2022-03-26,13:07:51,Receive,167,WH04,,153.06,25561.02,PO12255,EMP00078
INV0003353,FURN-003024,2021-05-20,11:32:35,Adjust,-7,WH05,,579.45,,,EMP00065
INV0003354,GROC-001048,2019-12-28,17:08:15,Ship,-27,WH02,,344.18,,,EMP00068
INV0003355,CLTH-000502,2023-03-13,05:09:26,Transfer,14,WH06,WH03,128.85,1803.9,,EMP00030
INV0003356,BOOK-002221,2020-02-15,22:40:23,Receive,76,WH05,,57.64,4380.64,PO32612,EMP00019
INV0003357,JEWL-002504,2022-12-29,23:38:54,Receive,43,WH05,,288.53,12406.79,PO16933,EMP00024
INV0003358,ELEC-000149,2023-11-05,05:26:52,Ship,-24,WH06,,617.2,,,EMP00034
INV0003359,GROC-001095,2023-06-01,09:56:26,Receive,185,WH08,,67.85,12552.25,PO21620,EMP00008
INV0003360,CLTH-000365,2022-12-19,01:02:54,Ship,-33,WH01,,50.12,,,EMP00079
INV0003361,JEWL-002487,2022-06-02,09:26:25,Ship,-37,WH06,,256.37,,,EMP00040
